question,language,intent,field_focus,query_focus,source
मी VJNT प्रवर्गातील विद्यार्थी आहे. मी पात्र आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
SBC विद्यार्थी अर्ज करू शकतो का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
माझे ५५% गुण आहेत. मी पात्र आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
ही योजना फक्त मुंबईतील विद्यार्थ्यांसाठी आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
मुंबईबाहेरील विद्यार्थी अर्ज करू शकतात का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी सरकारी शाळेत शिकणे आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेसाठी उत्पन्न मर्यादा आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
या योजनेची पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required for this scholarship?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates should I upload?,en,DOCUMENT_QUERY,documents,,synthetic
Do I need to submit my marks memo?,en,DOCUMENT_QUERY,documents,,synthetic
या योजनेसाठी कोणती कागदपत्रे आवश्यक आहेत?,mr,DOCUMENT_QUERY,documents,,synthetic
गुणपत्रिका आवश्यक आहे का?,mr,DOCUMENT_QUERY,documents,,synthetic
अर्जासाठी कोणती प्रमाणपत्रे लागतील?,mr,DOCUMENT_QUERY,documents,,synthetic
What benefits are provided under this scholarship?,en,BENEFIT_QUERY,benefit,,synthetic
How much scholarship amount will I receive?,en,BENEFIT_QUERY,benefit,,synthetic
What financial assistance does this scheme provide?,en,BENEFIT_QUERY,benefit,,synthetic
या शिष्यवृत्तीमध्ये किती लाभ मिळतो?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेत किती आर्थिक मदत मिळते?,mr,BENEFIT_QUERY,benefit,,synthetic
या शिष्यवृत्तीचे फायदे काय आहेत?,mr,BENEFIT_QUERY,benefit,,synthetic
How can I apply for this scholarship?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Where can I apply for this scheme?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Explain the application process.,en,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
अर्ज कुठे करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
अर्ज प्रक्रिया समजावून सांगा.,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
Which department provides this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scholarship under the OBC, SEBC, VJNT & SBC Welfare Department?,en,DEPARTMENT_QUERY,dept,,synthetic
Who manages this scheme?,en,DEPARTMENT_QUERY,dept,,synthetic
ही योजना कोणत्या विभागाची आहे?,mr,DEPARTMENT_QUERY,dept,,synthetic
ही योजना OBC, SEBC, VJNT आणि SBC कल्याण विभागाची आहे का?,mr,DEPARTMENT_QUERY,dept,,synthetic
या योजनेचे संचालन कोणता विभाग करतो?,mr,DEPARTMENT_QUERY,dept,,synthetic
Show scholarships for VJNT students in Mumbai.,en,FILTER_SEARCH,,list_expand,synthetic
List scholarships for SBC students studying in classes 5 to 10.,en,FILTER_SEARCH,,list_expand,synthetic
Show merit scholarships for school students.,en,FILTER_SEARCH,,list_expand,synthetic
मुंबईतील VJNT विद्यार्थ्यांसाठी शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
५वी ते १०वीतील SBC विद्यार्थ्यांसाठी योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
गुणवंत विद्यार्थ्यांसाठी शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
Compare this scholarship with the Savitribai Phule Scholarship.,en,COMPARISON,,,synthetic
How is this scholarship different from other VJNT scholarships?,en,COMPARISON,,,synthetic
या शिष्यवृत्तीची सावित्रीबाई फुले शिष्यवृत्तीशी तुलना करा.,mr,COMPARISON,,,synthetic
ही योजना इतर VJNT शिष्यवृत्तींपेक्षा कशी वेगळी आहे?,mr,COMPARISON,,,synthetic
Is there any scheme that reimburses tuition fees for VJNT students studying in school?,en,FILTER_SEARCH,,list_expand,synthetic
Show fee reimbursement schemes for SBC students from Class 1 to 10.,en,FILTER_SEARCH,,list_expand,synthetic
Can VJNT students studying in secondary school get exam fee reimbursement?,en,SCHEME_INFO,benefit,,synthetic
What is the income criteria for the Payment of Tuition Fees & Exam Fees scheme for VJNT students?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Who is eligible for the Payment of Tuition Fees & Exam Fees scheme?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is BPL mandatory for this scheme?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Which department provides this tuition fee reimbursement scheme?,en,DEPARTMENT_QUERY,dept,,synthetic
What benefits are provided under this scheme?,en,BENEFIT_QUERY,benefit,,synthetic
Does this scheme cover both tuition fees and examination fees?,en,BENEFIT_QUERY,benefit,,synthetic
Explain the Payment of Tuition Fees & Exam Fees scheme.,en,SCHEME_INFO,,,synthetic
VJNT आणि SBC विद्यार्थ्यांसाठी फी परतावा योजना आहे का?,mr,FILTER_SEARCH,,list_expand,synthetic
इयत्ता १ ते १० मधील VJNT विद्यार्थ्यांसाठी परीक्षा शुल्क भरून मिळते का?,mr,SCHEME_INFO,benefit,,synthetic
या योजनेसाठी पात्रता काय आहे?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी BPL आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेअंतर्गत कोणते लाभ मिळतात?,mr,BENEFIT_QUERY,benefit,,synthetic
ही योजना कोणत्या विभागामार्फत दिली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
VJNT विद्यार्थ्यांसाठी शुल्क माफी योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
या योजनेत उत्पन्न मर्यादा किती आहे?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
ही योजना कशाबद्दल आहे?,mr,SCHEME_INFO,,,synthetic
माध्यमिक शाळेतील SBC विद्यार्थ्यांना फी भरून मिळेल का?,mr,SCHEME_INFO,benefit,,synthetic
Are there any maintenance allowance schemes for students studying in Sainik Schools?,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarship schemes for Sainik School students.,en,FILTER_SEARCH,,list_expand,synthetic
What is the income limit for the Sainik School maintenance allowance scheme?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
What documents are required for the Sainik School maintenance allowance scheme?,en,DOCUMENT_QUERY,documents,,synthetic
Who is eligible for this scheme?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
What benefits are available under this scheme?,en,BENEFIT_QUERY,benefit,,synthetic
Which department offers this maintenance allowance scheme?,en,DEPARTMENT_QUERY,dept,,synthetic
Can private Sainik School students apply for this scheme?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Explain the Maintenance Allowance to Students studying in Sainik Schools scheme.,en,SCHEME_INFO,,,synthetic
Is Aadhaar-linked bank account mandatory for this scheme?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
सैनिक शाळेतील विद्यार्थ्यांसाठी निर्वाह भत्ता योजना आहे का?,mr,FILTER_SEARCH,,list_expand,synthetic
सैनिक शाळेतील विद्यार्थ्यांसाठी उपलब्ध योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
या योजनेसाठी आवश्यक कागदपत्रे कोणती आहेत?,mr,DOCUMENT_QUERY,documents,,synthetic
या योजनेचा लाभ कोणाला मिळतो?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेसाठी पात्रता काय आहे?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी उत्पन्न मर्यादा किती आहे?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
ही योजना कोणत्या विभागाची आहे?,mr,DEPARTMENT_QUERY,dept,,synthetic
सरकारी सैनिक शाळेतील विद्यार्थी अर्ज करू शकतात का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
सैनिक शाळा निर्वाह भत्ता योजना समजावून सांगा.,mr,SCHEME_INFO,,,synthetic
या योजनेसाठी आधार लिंक केलेले बँक खाते आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
Are there any merit scholarships for VJNT students studying in secondary schools?,en,FILTER_SEARCH,,list_expand,synthetic
Show merit scholarship schemes for SBC students in ZP schools.,en,FILTER_SEARCH,,list_expand,synthetic
Who is eligible for the Meritorious Scholarship to VJNT and SBC students?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
What are the eligibility criteria for this merit scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is there any income limit for this scholarship?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Do students need to score at least 50% marks to receive this scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Which department offers the Meritorious Scholarship for VJNT and SBC students?,en,DEPARTMENT_QUERY,dept,,synthetic
Explain the Meritorious Scholarship for VJNT and SBC students studying in secondary schools.,en,SCHEME_INFO,,,synthetic
Can students studying in government-aided schools apply for this scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is an Aadhaar-linked bank account mandatory for this scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
माध्यमिक शाळेतील VJNT विद्यार्थ्यांसाठी गुणवंत शिष्यवृत्ती आहे का?,mr,FILTER_SEARCH,,list_expand,synthetic
